region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial,A1,A2,A3,A1n,A2n,A3n,A2n_inv,LLAI_equal,LLAI_entropy,LLAI_pca,LLAI,cluster,cluster_rank
서울,2024,9331828.0,434287.0,,24572.0,22072.0,398500.0,340346.0,41876.0,263.31389734144267,16.21764610125346,0.0508235337461172,1.0,0.0,0.4818772156899134,1.0,82.7292405229971,91.1292108027868,94.28240957316054,91.1292108027868,1,0
울산,2024,1098049.0,45042.0,,252.0,3186.543352868362,22465.0,13675.0,6967.0,22.949795500929376,89.14682539682539,0.0707460448663106,0.0410894080933929,0.6962139450679776,1.0,0.3037860549320224,44.82918210084718,24.24448919374027,26.37529448592155,24.24448919374027,0,1
제주,2024,670368.0,35293.0,,154.0,2495.0,14778.0,9026.0,4872.0,22.972456919184687,95.96103896103897,0.0706939053070013,0.0411798137480903,0.7612654176596197,0.9986440116168585,0.2387345823403802,42.61861359017763,23.306793719628217,23.470904419571404,23.306793719628217,0,1
부산,2024,3266598.0,238549.0,,1210.0,9479.682731274364,64768.0,43434.0,18049.0,37.0415949559756,53.52727272727272,0.0397389330128165,0.0973073526741256,0.3561740663094407,0.1936010962662875,0.6438259336905593,31.157812754365743,19.11442151718543,35.10215577815522,19.11442151718543,0,1
경기,2024,13694685.0,483643.0,,1883.0,25925.83238836316,200902.0,138246.0,48930.0,13.74985989089928,106.69251194901751,0.0536053088504602,0.0043871067357211,0.8637127675066603,0.5542225668201639,0.1362872324933397,23.163230201640825,11.719274701323808,12.373090771717582,11.719274701323808,0,1
경남,2024,3228380.0,178321.0,,420.0,9368.773915857271,43385.0,27262.0,13138.0,13.009620924426494,103.29761904761904,0.052538814362062,0.0014339911079817,0.831303630275228,0.5264863497114609,0.1686963697247719,23.22055701814049,11.50014366859886,13.377183189709518,11.50014366859886,0,1
광주권,2024,3197241.0,203162.0,,629.0,8742.0,59419.0,38921.0,16962.0,19.673211997469068,94.4658187599364,0.0430297004361051,0.028017778001062,0.746991389554409,0.2791837604989631,0.253008610445591,18.67367163152053,10.28635686134285,15.58089491749024,10.28635686134285,0,1
대전권,2024,3966416.0,178605.0,,813.0,6686.0,67013.0,43280.0,19380.0,20.497093597847527,82.42681426814268,0.0374345623022871,0.0313045782637903,0.6320617702596019,0.1336715541810085,0.3679382297403981,17.7638120728399,9.647560402911637,19.23334930416337,9.647560402911637,0,1
대구권,2024,4895013.0,306063.0,,847.0,12661.0,78234.0,49661.0,23805.0,17.303324832845185,92.3659976387249,0.0413673001963648,0.018563329993309,0.7269455757819717,0.2359498812125813,0.2730544242180283,17.585587847463955,9.180099775311708,15.574840125489697,9.180099775311708,0,1
전북,2024,1738690.0,130243.0,,321.0,4935.0,27523.0,17321.0,8504.0,18.462175545957013,85.74143302180686,0.0378907119768432,0.0231864588829083,0.6637045752544601,0.1455345938358639,0.3362954247455398,16.83388258214374,8.844894390977624,17.595670446810434,8.844894390977624,0,1
인천,2024,3021010.0,177093.0,,748.0,5719.167611636848,81341.0,54582.0,22003.0,24.75993128126024,108.74465240641712,0.0322947130131447,0.0483107791685966,0.8833034007412579,0.0,0.1166965992587421,5.500245947577956,4.971832998979626,7.339716483915358,4.971832998979626,0,1
충북,2024,1591177.0,79187.0,,232.0,2891.0,24972.0,15708.0,7690.0,14.580401803193483,107.63793103448276,0.0365085178122671,0.0077004777034445,0.8727381529229234,0.1095880063456229,0.1272618470770765,8.151677704204802,4.206653402100513,7.212411183487166,4.206653402100513,0,1
강원,2024,1517766.0,84290.0,,192.0,3020.0,23226.0,13904.0,7805.0,12.650171370290282,120.96875,0.0358286866769486,0.0,1.0,0.0919077049736284,0.0,3.0635901657876143,1.573553414575925,1.0142202389530632,1.573553414575925,0,1
